,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_Rank,rapm_def_Rank,rapm__intercept,display_first_last
450,1627778.0,-0.14,-0.5,-0.64,364.0,257.0,385.0,103.6,Chinanu Onuaku
451,1627780.0,-0.57,-0.38,-0.94,408.0,380.0,355.0,103.6,Gary Payton II
452,1627781.0,-0.13,0.36,0.24,163.0,253.0,124.0,103.6,Malachi Richardson
453,1627782.0,-0.47,-0.05,-0.52,351.0,355.0,257.0,103.6,Wayne Selden
454,1627783.0,-0.79,-0.34,-1.13,429.0,421.0,345.0,103.6,Pascal Siakam
455,1627784.0,-0.34,-0.42,-0.76,387.0,328.0,367.0,103.6,Jarrod Uthoff
456,1627785.0,0.29,0.54,0.83,84.0,140.0,90.0,103.6,Isaiah Whitehead
457,1627786.0,-1.01,-0.3,-1.31,449.0,445.0,332.0,103.6,Troy Williams
458,1627787.0,-0.36,-0.3,-0.66,369.0,330.0,333.0,103.6,Kyle Wiltjer
459,1627789.0,-0.6,0.96,0.35,144.0,385.0,40.0,103.6,Timothe Luwawu-Cabarrot
460,1627791.0,-0.09,-0.11,-0.21,286.0,234.0,290.0,103.6,Ben Bentil
461,1627812.0,-0.09,-0.72,-0.82,390.0,236.0,429.0,103.6,Yogi Ferrell
462,1627815.0,-0.57,0.2,-0.37,329.0,379.0,173.0,103.6,Sheldon Mac
463,1627816.0,0.32,-0.39,-0.06,241.0,136.0,359.0,103.6,Alex Poythress
464,1627817.0,-0.14,0.1,-0.04,236.0,258.0,194.0,103.6,Tim Quarterman
465,1627819.0,-0.03,-0.33,-0.36,324.0,215.0,342.0,103.6,Isaiah Taylor
466,1627823.0,0.47,-0.64,-0.18,279.0,116.0,412.0,103.6,Juancho Hernangomez
467,1627826.0,-0.47,-0.53,-1.0,416.0,357.0,394.0,103.6,Ivica Zubac
468,1627827.0,-0.16,-0.07,-0.23,292.0,267.0,267.0,103.6,Dorian Finney-Smith
469,1627832.0,-0.24,0.99,0.75,95.0,295.0,38.0,103.6,Fred VanVleet
470,1627834.0,0.2,-0.08,0.12,194.0,153.0,276.0,103.6,Georgios Papagiannis
471,1627835.0,-0.31,0.42,0.12,195.0,315.0,113.0,103.6,Paul Zipser
472,1627848.0,0.99,-0.18,0.81,88.0,56.0,307.0,103.6,Shawn Long
473,1627849.0,-0.09,-0.31,-0.4,334.0,237.0,335.0,103.6,Daniel Ochefu
474,1627850.0,0.18,-0.04,0.14,185.0,157.0,251.0,103.6,Marshall Plumlee
475,1627851.0,-0.08,0.23,0.15,182.0,231.0,163.0,103.6,Mindaugas Kuzminskas
476,1627852.0,-0.26,-0.99,-1.24,443.0,298.0,458.0,103.6,Nicolas Brussino
477,1627854.0,-1.06,-0.26,-1.32,451.0,452.0,322.0,103.6,Bryn Forbes
478,1627855.0,0.71,0.21,0.92,77.0,76.0,168.0,103.6,Okaro White
479,1627861.0,-0.31,0.03,-0.28,305.0,316.0,223.0,103.6,Mike Tobey
480,1627863.0,-0.02,0.02,-0.0,222.0,211.0,228.0,103.6,Danuel House Jr.
481,1627868.0,-0.07,-0.03,-0.1,255.0,227.0,245.0,103.6,Patricio Garino
482,1627875.0,-0.11,-0.07,-0.18,280.0,244.0,265.0,103.6,Marcus Georges-Hunt
483,1627879.0,-0.63,-0.03,-0.66,367.0,391.0,241.0,103.6,Nicolas Laprovittola
484,1627884.0,0.41,0.34,0.74,96.0,124.0,132.0,103.6,Derrick Jones Jr.
485,1628021.0,-0.25,0.75,0.5,128.0,297.0,63.0,103.6,David Nwaba
